Period,Ax,Bx,Gap,Au,Lam,Actual,Predicted
950.0,155.0,275.0,270.0,150.0,0.634,-1.5000000000000002e-10,-1.3590037280346382e-10
950.0,195.0,215.0,120.0,70.0,0.638,-3.56e-11,-5.44663899791096e-11
950.0,115.0,335.0,320.0,110.0,0.642,-8.66e-10,-8.685272445402235e-10
950.0,115.0,335.0,70.0,90.0,0.638,1.77e-10,1.6097618948314194e-10
950.0,175.0,315.0,170.0,130.0,0.638,5.18e-10,5.271315619864934e-10
950.0,135.0,215.0,70.0,110.0,0.632,-6.89e-12,-1.859611314738675e-11
950.0,175.0,335.0,20.0,150.0,0.634,1.4199999999999998e-11,2.6658225010209856e-11
950.0,195.0,275.0,270.0,70.0,0.64,-4.76e-11,-3.459270944575282e-11
950.0,115.0,315.0,420.0,150.0,0.632,-2.36e-10,-2.3246627882795018e-10
950.0,155.0,335.0,270.0,150.0,0.632,-6.26e-10,-5.86275826213493e-10
950.0,155.0,275.0,70.0,90.0,0.642,8.18e-11,7.181052379831419e-11
950.0,135.0,235.0,220.0,130.0,0.636,5.19e-10,5.016150077116279e-10
950.0,155.0,235.0,170.0,110.0,0.632,2.63e-10,2.7941508778259466e-10
950.0,155.0,275.0,320.0,50.0,0.638,5.25e-11,9.389132510664762e-11
950.0,135.0,315.0,70.0,110.0,0.64,1.35e-10,9.618158152337294e-11
950.0,155.0,275.0,70.0,130.0,0.632,3.44e-11,1.64600863429563e-11
950.0,135.0,215.0,220.0,130.0,0.632,3.92e-10,3.669328081846296e-10
950.0,195.0,275.0,320.0,110.0,0.636,-2.69e-10,-2.791858573821372e-10
950.0,175.0,235.0,20.0,130.0,0.636,-5.09e-12,3.877279620275432e-13
950.0,155.0,235.0,270.0,70.0,0.632,1.6800000000000003e-11,1.0727778743514919e-11
950.0,135.0,315.0,420.0,70.0,0.64,-1.25e-10,-1.1338312336472077e-10
950.0,115.0,315.0,270.0,70.0,0.634,-1.42e-10,-1.6389714076260423e-10
950.0,195.0,235.0,370.0,70.0,0.632,6.98e-12,6.141754663521194e-12
950.0,155.0,295.0,120.0,150.0,0.634,3e-10,2.6973474515176893e-10
950.0,155.0,235.0,270.0,130.0,0.634,8.95e-11,6.767674047291245e-11
950.0,175.0,275.0,20.0,90.0,0.636,-4.74e-11,-3.663221539466762e-11
950.0,175.0,295.0,120.0,90.0,0.636,1.6e-10,1.825937869289478e-10
950.0,155.0,255.0,70.0,70.0,0.642,1.57e-10,2.288273684576783e-11
950.0,175.0,315.0,420.0,150.0,0.642,-4.250000000000001e-11,-4.3106651418488165e-11
950.0,175.0,235.0,120.0,150.0,0.636,1.05e-10,1.3321036681861856e-10
950.0,155.0,335.0,220.0,90.0,0.642,1.82e-10,1.6808867044167221e-10
950.0,155.0,295.0,420.0,130.0,0.64,-1.31e-10,-9.755553260725167e-11
950.0,195.0,235.0,120.0,110.0,0.636,5.21e-11,7.510727458667964e-11
950.0,155.0,255.0,120.0,90.0,0.638,1.33e-10,1.5058678146289153e-10
950.0,195.0,315.0,420.0,150.0,0.636,-9.83e-12,2.621752783083062e-11
950.0,135.0,235.0,70.0,130.0,0.632,2.99e-12,-3.536550412641127e-11
950.0,135.0,275.0,70.0,70.0,0.632,-1.39e-10,-1.3923633605461908e-10
950.0,115.0,335.0,320.0,110.0,0.638,-9.150000000000001e-10,-9.400776734671165e-10
950.0,175.0,235.0,20.0,50.0,0.64,-1.9199999999999996e-11,-2.276256016845124e-11
950.0,155.0,235.0,220.0,110.0,0.634,3.4399999999999995e-10,3.204348104892262e-10
950.0,195.0,275.0,220.0,130.0,0.64,1.78e-10,1.6216999658950742e-10
950.0,175.0,215.0,270.0,90.0,0.64,3.12e-11,2.2986706075314628e-11
950.0,155.0,275.0,370.0,130.0,0.638,-4.15e-10,-4.4304034353951134e-10
950.0,135.0,335.0,270.0,90.0,0.636,-5.29e-10,-4.864252911341367e-10
950.0,195.0,235.0,120.0,70.0,0.634,-4.73e-11,-2.3675935946073164e-11
950.0,175.0,235.0,220.0,130.0,0.634,2.69e-10,2.482106089940597e-10
950.0,155.0,295.0,270.0,70.0,0.632,-1.42e-10,-1.2315413453095465e-10
950.0,135.0,315.0,420.0,150.0,0.638,-1.63e-10,-1.9423953920148568e-10
950.0,135.0,295.0,420.0,110.0,0.642,-2.29e-10,-1.9987623079778713e-10
950.0,175.0,215.0,20.0,110.0,0.632,-1.74e-11,-7.971269945602875e-12
950.0,155.0,275.0,170.0,130.0,0.636,5.17e-10,5.442596259907367e-10
950.0,175.0,215.0,220.0,50.0,0.632,-4.96e-11,-3.636702915425556e-11
950.0,175.0,335.0,170.0,70.0,0.642,4.31e-10,3.882995062797507e-10
950.0,135.0,235.0,370.0,150.0,0.632,-5.14e-10,-4.883250424561251e-10
950.0,195.0,235.0,70.0,110.0,0.632,-1.06e-11,5.39229163570389e-12
950.0,175.0,275.0,370.0,70.0,0.642,-3.45e-10,-3.0745865880006323e-10
950.0,155.0,295.0,270.0,130.0,0.632,-3.3e-10,-2.9913374773425644e-10
950.0,135.0,315.0,20.0,150.0,0.636,1.16e-11,3.963011502705142e-11
950.0,175.0,315.0,120.0,110.0,0.64,3.15e-10,3.524506679423528e-10
950.0,155.0,295.0,220.0,70.0,0.636,1.71e-10,1.6635935794025816e-10
950.0,155.0,315.0,70.0,70.0,0.632,-9.709999999999999e-11,-9.390420808552389e-11
950.0,175.0,235.0,220.0,90.0,0.636,1.37e-10,1.2607973036798526e-10
950.0,195.0,335.0,220.0,50.0,0.636,-3.59e-11,-1.0417663527248048e-11
950.0,155.0,295.0,270.0,50.0,0.634,-3.47e-11,-4.268421367319646e-11
950.0,155.0,215.0,220.0,50.0,0.634,-1.27e-10,-1.2845199521535192e-10
950.0,135.0,235.0,170.0,90.0,0.64,3.88e-10,3.9453228214581296e-10
950.0,195.0,295.0,420.0,50.0,0.64,5.96e-11,-4.4596320702661045e-11
950.0,175.0,255.0,220.0,110.0,0.634,2.78e-10,2.53623236369031e-10
950.0,135.0,235.0,70.0,110.0,0.636,2.1500000000000003e-11,5.743026740218475e-12
950.0,175.0,335.0,220.0,90.0,0.642,5.1e-12,1.2736192805825102e-12
950.0,175.0,315.0,370.0,110.0,0.64,-1.77e-10,-1.8372580416192288e-10
950.0,135.0,295.0,20.0,130.0,0.64,1.24e-11,2.7769538596927415e-11
950.0,195.0,335.0,320.0,50.0,0.632,-1.37e-10,-1.4229811043170153e-10
950.0,195.0,275.0,170.0,110.0,0.632,3.02e-10,3.1682262785922403e-10
950.0,195.0,215.0,320.0,150.0,0.636,-9.5e-11,-7.213521911634561e-11
950.0,195.0,275.0,220.0,50.0,0.636,2.4e-11,3.871266205633212e-12
