Period,Ax,Bx,Gap,Au,Lam,Force
950,115,295,220,150,0.634,8.17E-10
950,115,295,220,150,0.636,8.10E-10
950,115,295,220,150,0.638,8.02E-10
950,115,295,220,150,0.64,7.93E-10
950,115,295,220,150,0.642,7.83E-10
950,115,295,270,50,0.632,1.18E-12
950,115,295,270,50,0.634,8.39E-13
950,115,295,270,50,0.636,8.30E-13
950,115,295,270,50,0.638,1.26E-12
950,115,295,270,50,0.64,4.29E-12
950,115,295,270,50,0.642,2.59E-11
950,115,295,270,70,0.632,1.43E-12
950,115,295,270,70,0.634,9.85E-13
950,115,295,270,70,0.636,8.65E-13
950,115,295,270,70,0.638,1.03E-12
950,115,295,270,70,0.64,2.85E-12
950,115,295,270,70,0.642,1.06E-11
950,115,295,270,90,0.632,1.90E-12
950,115,295,270,90,0.634,1.28E-12
950,115,295,270,90,0.636,1.04E-12
950,115,295,270,90,0.638,1.00E-12
950,115,295,270,90,0.64,1.81E-12
950,115,295,270,90,0.642,4.37E-12
950,115,295,270,110,0.632,2.14E-12
950,115,295,270,110,0.634,1.43E-12
950,115,295,270,110,0.636,1.13E-12
950,115,295,270,110,0.638,9.87E-13
950,115,295,270,110,0.64,1.24E-12
950,115,295,270,110,0.642,2.08E-12
950,115,295,270,130,0.632,2.19E-12
950,115,295,270,130,0.634,1.46E-12
950,115,295,270,130,0.636,1.13E-12
950,115,295,270,130,0.638,9.41E-13
950,115,295,270,130,0.64,9.52E-13
950,115,295,270,130,0.642,1.18E-12
950,115,295,270,150,0.632,2.16E-12
950,115,295,270,150,0.634,1.43E-12
950,115,295,270,150,0.636,1.09E-12
950,115,295,270,150,0.638,8.91E-13
950,115,295,270,150,0.64,8.05E-13
950,115,295,270,150,0.642,8.21E-13
950,115,295,320,50,0.632,-1.53E-10
950,115,295,320,50,0.634,-1.36E-10
950,115,295,320,50,0.636,-1.18E-10
950,115,295,320,50,0.638,-9.51E-11
950,115,295,320,50,0.64,-6.67E-11
950,115,295,320,50,0.642,1.19E-11
950,115,295,320,70,0.632,-5.31E-10
