Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual
950.0,155.0,275.0,270.0,150.0,0.634,-1.3650904045938917e-10,-1.5000000000000002e-10
950.0,195.0,215.0,120.0,70.0,0.638,-2.9462184981364424e-11,-3.56e-11
950.0,115.0,335.0,320.0,110.0,0.642,-8.720003627538607e-10,-8.66e-10
950.0,115.0,335.0,70.0,90.0,0.638,1.6236673373559523e-10,1.77e-10
950.0,175.0,315.0,170.0,130.0,0.638,5.270343327953637e-10,5.18e-10
950.0,135.0,215.0,70.0,110.0,0.632,-1.7491818080514942e-11,-6.89e-12
950.0,175.0,335.0,20.0,150.0,0.634,2.8270871888811425e-11,1.4199999999999998e-11
950.0,195.0,275.0,270.0,70.0,0.64,-4.575719490022428e-11,-4.76e-11
950.0,115.0,315.0,420.0,150.0,0.632,-2.1315437200586137e-10,-2.36e-10
950.0,155.0,335.0,270.0,150.0,0.632,-5.963531185848424e-10,-6.26e-10
950.0,155.0,275.0,70.0,90.0,0.642,7.845444397795463e-11,8.18e-11
950.0,135.0,235.0,220.0,130.0,0.636,5.032622247273608e-10,5.19e-10
950.0,155.0,235.0,170.0,110.0,0.632,2.796657942894906e-10,2.63e-10
950.0,155.0,275.0,320.0,50.0,0.638,8.967556558114534e-11,5.25e-11
950.0,135.0,315.0,70.0,110.0,0.64,9.173469276720002e-11,1.35e-10
950.0,155.0,275.0,70.0,130.0,0.632,2.7925712556900098e-11,3.44e-11
950.0,135.0,215.0,220.0,130.0,0.632,3.671713298711095e-10,3.92e-10
950.0,195.0,275.0,320.0,110.0,0.636,-2.7801501501027546e-10,-2.69e-10
950.0,175.0,235.0,20.0,130.0,0.636,4.043529322986322e-12,-5.09e-12
950.0,155.0,235.0,270.0,70.0,0.632,5.154613298662485e-12,1.6800000000000003e-11
950.0,135.0,315.0,420.0,70.0,0.64,-1.2300819776646195e-10,-1.25e-10
950.0,115.0,315.0,270.0,70.0,0.634,-1.6295642896226353e-10,-1.42e-10
950.0,195.0,235.0,370.0,70.0,0.632,1.045935023456174e-11,6.98e-12
950.0,155.0,295.0,120.0,150.0,0.634,2.597684605176155e-10,3e-10
950.0,155.0,235.0,270.0,130.0,0.634,6.893127282794706e-11,8.95e-11
950.0,175.0,275.0,20.0,90.0,0.636,-3.303944768193493e-11,-4.74e-11
950.0,175.0,295.0,120.0,90.0,0.636,1.8433369667300096e-10,1.6e-10
950.0,155.0,255.0,70.0,70.0,0.642,3.704024300643483e-11,1.57e-10
950.0,175.0,315.0,420.0,150.0,0.642,-4.774044136846035e-11,-4.250000000000001e-11
950.0,175.0,235.0,120.0,150.0,0.636,1.3187954462065296e-10,1.05e-10
950.0,155.0,335.0,220.0,90.0,0.642,1.6299139085461877e-10,1.82e-10
950.0,155.0,295.0,420.0,130.0,0.64,-9.840018814006361e-11,-1.31e-10
950.0,195.0,235.0,120.0,110.0,0.636,7.328608616982446e-11,5.21e-11
